entrezgene_id,mgi_symbol,chromosome_name
266744,Lgsn,1
74708,Dnaaf6,1
226957,NA,NA
624262,NA,NA
170771,Khdrbs2,1
408192,Gm9839,1
408191,Gm5415,1
19076,Prim2,1
67503,1700001G17Rik,1
19335,Rab23,1
213539,Bag2,1
98403,Zfp451,1
433287,Gm15455,1
320705,Bend6,1
13518,Dst,1
100628580,Mir5103,1
69668,Ccdc115,1
27993,Imp4,1
52318,NA,NA
19253,Ptpn18,1
21755,Prss39,1
12627,Cfc1,1
21756,Prss40,1
211383,Amer3,1
241051,NA,NA
226970,Arhgef4,1
214469,Fam168b,1
226971,Plekhb2,1
50785,Hs6st1,1
320011,Uggt1,1
214854,Neurl3,1
214855,Arid5a,1
226976,Kansl3,1
214895,Lman2l,1
94220,Cnnm4,1
94218,Cnnm3,1
78321,Ankrd23,1
109346,Ankrd39,1
20353,Sema4c,1
381337,Fam178b,1
12859,Cox5b,1
226977,Actr1b,1
71166,4933424G06Rik,1
22637,Zap70,1
56030,Tmem131,1
70853,Vwa3b,1
12790,Cnga3,1
269180,Inpp4a,1
76178,Coa5,1
67387,Unc50,1
269181,Mgat4a,1
77633,4930594C11Rik,1
100861893,NA,NA
72097,Cracdl,1
100503734,NA,NA
211484,Tsga10,1
623661,Lipt1,1
69028,Mitd1,1
107734,Mrpl30,1
332427,Lyg2,1
69541,Lyg1,1
98258,Txndc9,1
226982,Eif5b,1
56210,Rev1,1
16764,Aff3,1
381338,Lonrf2,1
98388,Chst10,1
100503760,NA,NA
433292,Nms,1
68833,Pdcl3,1
18143,Npas2,1
114641,Rpl31,1
54610,Tbc1d8,1
52846,Cnot11,1
100217461,NA,NA
67702,Rnf149,1
263764,Creg2,1
619289,Rfx8,1
100042065,Gm3646,1
73426,1700066B17Rik,1
26921,Map4k4,1
100047133,Gm16894,1
16178,Il1r2,1
16177,Il1r1,1
107527,Il1rl2,1
17082,Il1rl1,1
16182,Il18r1,1
16174,Il18rap,1
110895,Slc9a4,1
226999,Slc9a2,1
211798,Mfsd9,1
381339,Tmem182,1
74897,4930448I06Rik,1
66297,Pantr1,1
18993,Pou3f3,1
73100,NA,NA
69527,Mrps9,1
93690,Gpr45,1
73122,Tgfbrap1,1
98404,AI597479,1
14200,Fhl2,1
666642,NA,NA
17974,Nck2,1
100861934,NA,NA
78896,Ecrg4,1
67883,Uxs1,1
100503192,NA,NA
22019,Tpp2,1
433294,Mettl21c,1
75623,Tex30,1
72050,Poglut2,1
246229,Bivm,1
22592,Ercc5,1
100861960,NA,NA
403183,Mettl21e,1
70676,Gulp1,1
75066,4930521E06Rik,1
12825,Col3a1,1
12832,Col5a2,1
73674,Wdr75,1
433297,NA,NA
53945,Slc40a1,1
100042453,NA,NA
212225,Stk-ps2,1
227058,Dnah7b,1
100101919,Dnah7c,1
227059,Slc39a10,1
442837,C230029F24Rik,1
56363,Tmeff2,1
442821,9330175M20Rik,1
20324,Cavin2,1
109019,Nabp1,1
100045066,Gm17767,1
17912,Myo1b,1
20849,Stat4,1
100042634,NA,NA
20846,Stat1,1
14660,Gls,1
17936,Nab1,1
227094,Nemp2,1
98682,Mfsd6,1
16329,Inpp1,1
227095,Hibch,1
67080,1700019D03Rik,1
17700,Mstn,1
69397,1700019A02Rik,1
227099,Pms1,1
227102,Ormdl1,1
72085,Osgepl1,1
70396,Asnsd1,1
627872,Dnah7a,1
98267,Stk17b,1
329152,Hecw2,1
78016,Ccdc150,1
98488,Gtf3c3,1
241062,Pgap1,1
329154,Ankrd44,1
81898,Sf3b1,1
67876,Coq10b,1
15510,Hspd1,1
15528,Hspe1,1
19070,Mob4,1
74013,Rftn2,1
212679,Mars2,1
75388,Boll,1
227120,Plcl1,1
626009,NA,NA
329159,9130227L01Rik,1
71066,Hsfy2,1
212712,Satb2,1
329160,9130024F11Rik,1
407809,BC055402,1
75323,4930558J18Rik,1
73467,1700066M21Rik,1
68736,Tyw5,1
68115,Maip1,1
67198,Spats2l,1
51960,Kctd18,1
68549,Sgo2a,1
11761,Aox1,1
71724,Aox3,1
71872,Aox4,1
213043,Aox2,1
66882,Bzw1,1
12747,Clk1,1
70225,Ppil3,1
65102,Nif3l1,1
18393,Orc2,1
100504455,NA,NA
213056,Fam126b,1
66495,Ndufb3,1
100504501,Gm20257,1
108812,Flacc1,1
12633,Cflar,1
12370,Casp8,1
70827,Trak2,1
227154,Stradb,1
73463,C2cd6,1
381259,Tmem237,1
227157,Mpp4,1
74018,Als2,1
271697,Cdk15,1
14369,Fzd7,1
381260,Gm973,1
22218,Sumo1,1
55989,Nop58,1
100217459,NA,NA
100217421,NA,NA
12168,Bmpr2,1
100504533,NA,NA
72750,Fam117b,1
70375,Ica1l,1
57750,Wdr12,1
241066,Carf,1
100504573,NA,NA
269198,Nbeal1,1
77951,Cyp20a1,1
329165,Abi2,1
77300,Raph1,1
100043027,NA,NA
100042533,NA,NA
12487,Cd28,1
100504618,NA,NA
12477,Ctla4,1
54167,Icos,1
77341,9530026F06Rik,1
72823,Pard3b,1
18187,Nrp2,1
74992,NA,NA
227195,Ino80d,1
100380944,Ino80dos,1
100504668,NA,NA
227197,Ndufs1,1
55949,Eef1b2,1
100217464,NA,NA
241070,Gpr1,1
73884,Zdbf2,1
23792,Adam23,1
241073,Dytn,1
76668,Mdh1b,1
75619,Fastkd2,1
74426,4933402D24Rik,1
433315,Gm13749,1
93691,Klf7,1
12912,Creb1,1
67099,Mettl21a,1
69941,2810408I11Rik,1
227210,Ccnyl1,1
14367,Fzd5,1
241075,Plekhm3,1
70861,Akr1cl,1
667276,NA,NA
12968,Cryge,1
12967,Crygd,1
12966,Crygc,1
12965,Crygb,1
12964,Cryga,1
98303,D630023F18Rik,1
15926,Idh1,1
18711,Pikfyve,1
213527,Pth2r,1
12969,Crygf,1
17756,Map2,1
100038569,NA,NA
329178,Unc80,1
66646,Rpe,1
68691,Kansl1l,1
11363,Acadl,1
100862127,NA,NA
17901,Myl1,1
14768,Lancl1,1
227231,Cps1,1
13869,Erbb4,1
100502712,NA,NA
22779,Ikzf2,1
66722,Spag16,1
320460,Vwc2l,1
12021,Bard1,1
74591,Abca12,1
108147,Atic,1
14268,Fn1,1
100042814,Apol7d,1
667931,Gm8883,1
71134,4933417E11Rik,1
433319,Gm5528,1
381269,Mreg,1
111175,Pecr,1
271711,Tmem169,1
22596,Xrcc5,1
381270,Marchf4,1
54380,Smarcal1,1
319695,Ankar,1
19981,Rpl37a,1
16008,Igfbp2,1
16011,Igfbp5,1
21958,Tnp1,1
69449,1700027A15Rik,1
723792,NA,NA
78718,D530049I02Rik,1
109198,NA,NA
21961,Tns1,1
435626,Rufy4,1
100862357,NA,NA
12765,Cxcr2,1
227288,Cxcr1,1
100316687,Mir1928,1
76709,Arpc2,1
227289,Gpbar1,1
227290,Aamp,1
56695,Pnkd,1
69660,Tmbim1,1
241112,Catip,1
18173,Slc11a1,1
227292,Ctdsp1,1
387219,Mir26b,1
22349,Vil1,1
319651,Usp37,1
58184,Cnot9,1
18802,Plcd4,1
77264,Zfp142,1
66821,Bcs1l,1
57751,Rnf25,1
269209,Stk36,1
67534,Ttll4,1
104086,Cyp27a1,1
241113,Prkag3,1
22420,Wnt6,1
22409,Wnt10a,1
12570,Cdk5r2,1
260298,Fev,1
12958,Cryba2,1
723900,Mir375,1
241116,Cfap65,1
16147,Ihh,1
75570,Nhej1,1
22626,Slc23a3,1
69171,Cnppd1,1
227298,Retreg2,1
68818,Zfand2b,1
74104,Abcb6,1
245860,Atg9a,1
52231,Ankzf1,1
74577,Glb1l,1
20872,Stk16,1
22145,Tuba4a,1
381272,A630095N17Rik,1
56812,Dnajb2,1
19275,Ptprn,1
19711,Resp18,1
13437,Dnpep,1
13346,Des,1
100503248,Gm15179,1
11790,Speg,1
69080,Gmppa,1
100862164,NA,NA
241118,Asic4,1
74241,Chpf,1
319998,Tmem198,1
98733,Obsl1,1
16322,Inha,1
71728,Stk11ip,1
20536,Slc4a3,1
100862333,NA,NA
620079,Gm17751,1
13838,Epha4,1
18505,Pax3,1
100039210,NA,NA
433323,Sgpp2,1
23874,Farsb,1
68393,Mogat1,1
74205,Acsl3,1
195434,Utp14b,1
57814,Kcne4,1
20254,Scg2,1
100862182,NA,NA
252903,Ap1s3,1
69368,Wdfy1,1
100038695,NA,NA
69163,Mrpl44,1
100862198,NA,NA
20720,Serpine2,1
241128,Fam124b,1
26554,Cul3,1
72208,1700016L21Rik,1
210293,Dock10,1
241134,Nyap2,1
16367,Irs1,1
100503073,NA,NA
76867,Rhbdd1,1
100503095,NA,NA
12829,Col4a4,1
12828,Col4a3,1
75734,Mff,1
66261,Tm4sf20,1
100044526,NA,NA
15463,Agfg1,1
80721,Slc19a3,1
71386,Krtap28-13,1
20297,Ccl20,1
71227,Daw1,1
77629,Sphkap,1
98496,Pid1,1
227325,Dner,1
100628595,Mir5126,1
14897,Trip12,1
66153,Fbxo36,1
71781,Slc16a14,1
100503433,NA,NA
381287,A530032D15Rik,1
621875,A530040E14Rik,1
100040135,NA,NA
665378,Gm7609,1
620078,C130026I21Rik,1
100040213,NA,NA
100039794,NA,NA
665338,NA,NA
109032,Sp110,1
434484,Sp140,1
100503502,NA,NA
100503045,NA,NA
20684,Sp100,1
319997,A630001G21Rik,1
12283,Cab39,1
64294,Itm2c,1
71141,NA,NA
227326,Gpr55,1
70060,Spata3,1
72792,2810459M11Rik,1
70247,Psmd1,1
15559,Htr2b,1
78795,Armc9,1
100861644,NA,NA
227327,B3gnt7,1
383538,NA,NA
17975,Ncl,1
100303740,NA,NA
80828,Snord82,1
319336,NA,NA
14767,Nmur1,1
71863,Tex44,1
19231,Ptma,1
18582,Pde6d,1
26895,Cops7b,1
18159,Nppc,1
208718,Dis3l2,1
11650,Alppl2,1
76768,Alpi,1
11648,Akp3,1
13599,Ecel1,1
69453,Prss56,1
11447,Chrnd,1
11449,Chrng,1
26987,Eif4e2,1
98363,Efhd1,1
227331,Gigyf2,1
100040591,Kcnj13,1
73234,Snorc,1
53972,Ngef,1
319977,NA,NA
620454,NA,NA
23956,Neu2,1
16331,Inpp5d,1
77040,Atg16l1,1
100217415,Scarna6,1
20215,Sag,1
100503175,Gm19582,1
227333,Dgkd,1
227334,Usp40,1
394430,Ugt1a10,1
394434,Ugt1a9,1
394432,Ugt1a7c,1
394435,Ugt1a6b,1
94284,Ugt1a6a,1
394433,Ugt1a5,1
22236,Ugt1a2,1
15504,Dnajb3,1
394436,Ugt1a1,1
100040766,Mroh2a,1
381280,Hjurp,1
78605,NA,NA
171382,Trpm8,1
75396,Spp2,1
14659,Glrp1,1
100503197,Gm19589,1
320982,Arl4c,1
78650,Platr5,1
73475,1700067G17Rik,1
98402,Sh3bp4,1
77331,C030007H22Rik,1
347722,Agap1,1
74403,NA,NA
14472,Gbx2,1
208372,Asb18,1
74918,Iqca,1
12778,Ackr3,1
108679,Cops8,1
433332,NA,NA
12835,Col6a3,1
171531,Mlph,1
623503,Prlh,1
19329,Rab17,1
16978,Lrrfip1,1
329207,Rbm44,1
51801,Ramp1,1
67921,Ube2f,1
665783,NA,NA
50880,Scly,1
227357,Espnl,1
100503326,NA,NA
70788,Klhl30,1
227358,Erfe,1
67444,Ilkap,1
67086,1700020N18Rik,1
55927,Hes6,1
18627,Per2,1
74019,Traf3ip1,1
65247,Asb1,1
13345,Twist2,1
208727,Hdac4,1
67273,Ndufa10,1
259040,Olfr1416,1
258228,Olfr1415,1
259041,Olfr1414,1
259039,Olfr1413,1
258274,Olfr1412,1
258483,Olfr1411,1
258484,Olfr1410,1
257890,Olfr12,1
66915,Cops9,1
260301,Otos,1
14733,Gpc1,1
100504295,NA,NA
387167,Mir149,1
241158,Ankmy1,1
67446,Dusp28,1
108657,Rnpepl1,1
100037260,9430060I03Rik,1
23830,Capn10,1
64095,Gpr35,1
208760,Aqp12,1
16560,Kif1a,1
11611,Agxt,1
71874,Mab21l4,1
381284,Crocc2,1
208777,Sned1,1
69821,Mterf4,1
269224,Pask,1
66385,Ppp1r7,1
404545,Ano7,1
110611,Hdlbp,1
18000,Septin2,1
227377,Farp2,1
59041,Stk25,1
51800,Bok,1
67026,Thap4,1
66615,Atg4b,1
21915,Dtymk,1
66262,Ing5,1
98314,D2hgdh,1
381334,Gal3st2,1
100041596,Gal3st2b,1
666009,NA,NA
619597,Gal3st2c,1
241159,Neu4,1
18566,Pdcd1,1
74689,4930440C22Rik,1
67698,Fam174a,1
20452,St8sia4,1
75381,4930598F16Rik,1
100504401,NA,NA
73454,1700063A18Rik,1
75159,4930533P14Rik,1
227394,Slco4c1,1
329217,Panct2,1
67854,Slco6b1,1
74441,Slco6c1,1
634331,Gm7133,1
634346,Gm7135,1
52392,Macir,1
227399,Ppip5k2,1
252876,Gin1,1
18484,Pam,1
78603,B230216N24Rik,1
69030,1810006J02Rik,1
70866,Slco6d1,1
100504494,NA,NA
241175,Cntnap5b,1
100504525,Gm20268,1
23836,Cdh20,1
320311,Rnf152,1
100504568,Gm17634,1
27392,Pign,1
227446,Relch,1
100042023,NA,NA
21934,Tnfrsf11a,1
635504,Gm7160,1
227449,Zcchc2,1
626049,Gm20753,1
98432,Phlpp1,1
12043,Bcl2,1
320761,NA,NA
70750,Kdsr,1
20479,Vps4b,1
20724,Serpinb5,1
71869,Serpinb12,1
241196,Serpinb13,1
20248,Serpinb3a,1
394252,Serpinb3d,1
383548,Serpinb3b,1
381286,Serpinb3c,1
66957,Serpinb11,1
116872,Serpinb7,1
18788,Serpinb2,1
241197,Serpinb10,1
20725,Serpinb8,1
241201,Cdh7,1
227485,Cdh19,1
319901,Dsel,1
636808,Cntnap5a,1
634762,NA,NA
22099,Tsn,1
67949,Nifk,1
76707,Clasp1,1
68204,2900060B14Rik,1
81879,Tfcp2l1,1
14633,Gli2,1
16324,Inhbb,1
100502628,NA,NA
64143,Ralb,1
226351,Tmem185b,1
226352,Epb41l5,1
19258,Ptpn4,1
66343,Tmem177,1
226356,Cfap221,1
319229,Sctr,1
170706,Tmem37,1
13167,Dbi,1
73103,3110009E18Rik,1
68428,Steap3,1
226359,C1ql2,1
17167,Marco,1
13798,En1,1
98452,Celrr,1
72999,Insig2,1
70829,Ccdc93,1
15564,Htr5b,1
66942,Ddx18,1
100502702,NA,NA
269109,Dpp10,1
74117,Actr3,1
74150,Slc35f5,1
71111,Gpr39,1
72585,Lypd1,1
210356,Nckap5,1
107895,Mgat5,1
667090,NA,NA
72160,Tmem163,1
266645,Acmsd,1
100502745,2900009J06Rik,1
72949,Ccnt2,1
22625,Map3k19,1
226407,Rab3gap1,1
226409,Zranb3,1
226412,R3hdm1,1
387147,Mir128-1,1
67812,Ubxn4,1
226413,Lct,1
17219,Mcm6,1
226414,Dars,1
12767,Cxcr4,1
210417,Thsd7b,1
100042740,NA,NA
13137,Cd55b,1
13136,Cd55,1
22789,Zp3r,1
12269,C4bp,1
12270,NA,NA
18640,Pfkfb2,1
226418,Yod1,1
212439,AA986860,1
64435,Fcamr,1
100502856,NA,NA
18703,Pigr,1
69169,Fcmr,1
93672,Il24,1
58181,Il20,1
329244,Il19,1
16153,Il10,1
17164,Mapkapk2,1
226419,Dyrk3,1
16865,Eif2d,1
54354,Rassf5,1
56489,Ikbke,1
14270,Srgap2,1
108900,Fam72a,1
26361,Avpr1b,1
13034,Ctse,1
226421,Rab7b,1
320718,Slc26a9,1
212933,Pm20d1,1
98396,Slc41a1,1
226422,Rab29,1
98415,Nucks1,1
212980,Slc45a3,1
13714,Elk4,1
213006,Mfsd4a,1
18557,Cdk18,1
723818,Mir135b,1
213409,Lemd1,1
213417,Klhdc8a,1
74137,Nuak2,1
68875,Tmcc2,1
213452,Dstyk,1
213464,Rbbp5,1
74626,Tmem81,1
21367,Cntn2,1
269116,Nfasc,1
100038653,Gm10538,1
16980,Lrrn2,1
17248,Mdm4,1
240752,Pik3c2b,1
108954,Ppp1r15b,1
240753,Plekha6,1
100502933,NA,NA
68338,Golt1a,1
280287,Gm28040,1
19701,Ren1,1
214253,Etnk2,1
20668,Sox13,1
20643,Snrpe,1
70579,Zc3h11a,1
667118,Gm38394,1
240754,Lax1,1
381290,Atp2b4,1
269120,Optc,1
116847,Prelp,1
100502984,NA,NA
14264,Fmod,1
100502999,NA,NA
12227,Btg2,1
667414,Gm8618,1
71884,Chit1,1
12654,Chil1,1
53311,Mybph,1
11539,Adora1,1
17928,Myog,1
68507,Ppfia4,1
57439,Tmem183a,1
240755,Mgat4f,1
72017,Cyb5r1,1
72674,Adipor1,1
100861791,NA,NA
240756,Klhl12,1
98710,Rabif,1
100503055,NA,NA
71001,Mgat4e,1
75605,Kdm5b,1
20980,Syt2,1
329251,Ppp1r12b,1
67196,Ube2t,1
329252,Lgr6,1
13924,Ptprv,1
100038590,NA,NA
320139,Ptpn7,1
68724,Arl8a,1
171469,Gpr37l1,1
13710,Elf3,1
215615,Rnpep,1
21854,Timm17a,1
93689,Lmod1,1
77552,Shisa4,1
226432,Ipo9,1
215690,Nav1,1
13007,Csrp1,1
27280,Phlda3,1
21952,Tnni1,1
16763,Lad1,1
21956,Tnnt2,1
18772,Pkp1,1
226438,Igfn1,1
66241,Tmem9,1
12292,Cacna1s,1
329253,Gm15850,1
16565,Kif21b,1
76422,Mroh3,1
67313,Inava,1
100042513,NA,NA
383563,Gpr25,1
67886,Camsap2,1
320054,9230116N13Rik,1
67997,Ddx59,1
381293,Kif14,1
71084,NA,NA
226442,Zfp281,1
100503460,Gm19705,1
100503474,NA,NA
667686,NA,NA
26424,Nr5a2,1
320138,NA,NA
735252,Mir181a-1,1
723890,Mir181b-1,1
19264,Ptprc,1
338375,Atp6v1g3,1
59125,Nek7,1
545363,Gm5833,1
16876,Lhx9,1
69549,2310009B15Rik,1
75546,1700019P21Rik,1
329260,Dennd1b,1
170788,Crb1,1
71209,4933436E23Rik,1
226470,Zbtb41,1
12316,Aspm,1
14060,F13b,1
50702,Cfhr1,1
624286,NA,NA
214403,Cfhr4,1
545366,Cfhr2,1
12628,Cfh,1
240776,Kcnt2,1
75910,4930590L20Rik,1
226472,NA,NA
214498,Cdc73,1
26878,B3galt2,1
69367,Glrx2,1
20822,Ro60,1
56207,Uchl5,1
19735,Rgs2,1
100861894,NA,NA
246709,Rgs13,1
50778,Rgs1,1
624910,Rgs21,1
64214,Rgs18,1
215378,Brinp3,1
100043240,NA,NA
791353,NA,NA
100503781,NA,NA
18783,Pla2g4a,1
320019,Ptgs2os,1
19225,Ptgs2,1
100043257,Rbm3,X
100043261,NA,NA
20028,Pdc,1
75584,2310030A07Rik,1
226499,Odr4,1
108989,Tpr,1
96875,Prg4,1
545370,Hmcn1,1
402734,NA,NA
73176,3110040M04Rik,1
117198,Ivns1abp,1
66875,Swt1,1
98685,Trmt1l,1
19821,Rnf2,1
100503012,NA,NA
63913,Niban1,1
66967,Edem3,1
69399,1700025G04Rik,1
66637,Tsen15,1
269132,Colgalt2,1
19731,Rgl1,1
100861876,NA,NA
71281,Apobec4,1
67771,Arpc5,1
100503084,NA,NA
17970,Ncf2,1
226517,Smg7,1
226518,Nmnat2,1
16782,Lamc2,1
226519,Lamc1,1
626058,NA,NA
71836,Shcbp1l,1
13211,Dhx9,1
74091,Npl,1
67792,Rgs8,1
329271,C230024C17Rik,1
19734,Rgs16,1
24014,Rnasel,1
240816,Rgsl1,1
240817,Teddm2,1
433365,Teddm1b,1
240819,Teddm1a,1
14645,Glul,1
100861882,NA,NA
207678,NA,NA
78112,4930452N14Rik,1
12290,Cacna1e,1
15939,Ier5,1
15064,Mr1,1
58244,Stx6,1
207792,BC034090,1
100503411,NA,NA
19775,Xpr1,1
433367,Gm5532,1
72482,Acbd6,1
16872,Lhx4,1
100861926,NA,NA
104009,Qsox1,1
74081,Cep350,1
208263,Tor1aip1,1
240832,Tor1aip2,1
329274,Fam163a,1
214575,Tdrd5,1
170484,Nphs2,1
77352,Axdnd1,1
20652,Soat1,1
11352,Abl2,1
30935,Tor3a,1
100503836,NA,NA
215015,Fam20b,1
78255,Ralgps2,1
72713,Angptl1,1
73435,Tex35,1
226525,Rasal2,1
69953,2810025M15Rik,1
226527,Cryzl2,1
89867,Sec16b,1
100504090,NA,NA
240843,Brinp2,1
11899,Astn1,1
735253,Mir488,1
23850,Pappa2,1
72025,1600012P17Rik,1
26374,Cop1,1
100217414,NA,NA
21960,Tnr,1
67647,4930523C07Rik,1
75255,4930562F07Rik,1
329278,Tnn,1
64659,Mrps14,1
12301,Cacybp,1
29809,Rabgap1l,1
100316784,Mir1927,1
620246,Gpr52,1
620750,NA,NA
381305,Rc3h1,1
11905,Serpinc1,1
240869,Zbtb37,1
14455,Gas5,1
100628588,NA,NA
100217446,NA,NA
226539,Dars2,1
70454,Cenpl,1
226541,Klhl20,1
73844,Ankrd45,1
100502590,Tex50,1
11758,Prdx6,1
22164,Tnfsf4,1
240873,Tnfsf18,1
14103,Fasl,1
226551,Suco,1
75368,4930558K02Rik,1
67292,Pigc,1
103967,Dnm3,1
72753,2810442N19Rik,1
474332,Dnm3os,1
723821,Mir199a-2,1
387210,Mir214,1
71449,Eef1aknmt,1
53330,Vamp4,1
17926,Myoc,1
100038657,Myocos,1
226562,Prrc2c,1
226564,Fmo4,1
14261,Fmo1,1
55990,Fmo2,1
226565,Fmo6,1
14262,Fmo3,1
78258,Mroh9,1
18933,Prrx1,1
98376,Gorab,1
240879,Mettl11b,1
16579,Kifap3,1
240880,Scyl3,1
381306,BC055324,1
69962,Mettl18,1
20339,Sele,1
20343,Sell,1
20344,Selp,1
100503816,Gm16548,1
14067,F5,1
116914,Slc19a2,1
74895,Ccdc181,1
66352,Blzf1,1
171567,Nme7,1
11931,Atp1b1,1
56429,Dpt,1
433374,Gm20743,1
16963,Xcl1,1
69476,1700029M03Rik,1
75857,4930568G15Rik,1
83993,Tbx19,1
108735,Sft2d2,1
226591,Tiprl,1
240888,Gpr161,1
74106,Dcaf6,1
70456,Mpc2,1
271639,Adcy10,1
68481,Mpzl1,1
100503268,NA,NA
226594,Rcsd1,1
100503283,NA,NA
433375,Creg1,1
12503,Cd247,1
18986,Pou2f1,1
240892,Dusp27,1
59290,Gpa33,1
98558,Mael,1
100039795,Ildr2,1
100503318,NA,NA
27878,Tada1,1
71592,Pogk,1
226601,Gm4846,1
226604,Gm4847,1
240894,Fmo9,1
100503962,Gm16701,1
226610,Fam78b,1
80914,Uck2,1
68944,Tmco1,1
100862084,NA,NA
56752,Aldh9a1,1
66447,Mgst3,1
240899,Lrrc52,1
100503977,NA,NA
20183,Rxrg,1
110648,Lmx1a,1
18514,Pbx1,1
66977,Nuf2,1
19737,Rgs5,1
100862094,NA,NA
19736,Rgs4,1
78465,Ccdc190,1
15490,Hsd17b7,1
67303,3110045C21Rik,1
18214,Ddr2,1
107652,Uap1,1
16589,Uhmk1,1
545378,Sh2d1b2,1
622708,Gm6345,1
26904,Sh2d1b1,1
665574,Gm7694,1
76925,Spata46,1
70729,Nos1ap,1
320078,Olfml2b,1
226641,Atf6,1
80915,Dusp12,1
435653,Fcrlb,1
98752,Fcrla,1
14130,Fcgr2b,1
246256,Fcgr4,1
14131,Fcgr3,1
75472,Cfap126,1
66052,Sdhc,1
17528,Mpz,1
66425,Pcp4l1,1
12355,Nr1i3,1
641376,Tomm40l,1
11807,Apoa2,1
14127,Fcer1g,1
226646,Ndufs2,1
240913,Adamts4,1
57370,B4galt3,1
19044,Ppox,1
30941,Usp21,1
66155,Ufc1,1
100862110,NA,NA
100504072,NA,NA
21945,Dedd,1
27045,Nit1,1
18637,Pfdn2,1
68874,Klhdc9,1
71740,Nectin4,1
226652,Arhgap30,1
22278,Usf1,1
226654,Tstd1,1
16456,F11r,1
56009,Alyref2,1
16429,Itln1,1
18106,Cd244a,1
17085,Ly9,1
75345,Slamf7,1
12506,Cd48,1
100041098,NA,NA
27218,Slamf1,1
12523,Cd84,1
100038548,NA,NA
100862186,NA,NA
30925,Slamf6,1
93840,Vangl2,1
18071,Nhlh1,1
59287,Ncstn,1
12847,Copa,1
100504176,NA,NA
19298,Pex19,1
98193,Dcaf8,1
18611,Pea15a,1
12372,Casq1,1
27222,Atp1a4,1
98660,Atp1a2,1
140559,Igsf8,1
16524,Kcnj9,1
16513,Kcnj10,1
67556,Pigm,1
100862199,NA,NA
98365,Slamf9,1
93842,Igsf9,1
21346,Tagln2,1
71870,Cfap45,1
71319,4933439K11Rik,1
240916,Vsig8,1
74748,Slamf8,1
677296,Fcrl6,1
68440,Dusp23,1
100040320,NA,NA
12944,Crp,1
20219,Apcs,1
18313,Olfr16,1
258759,Olfr1408,1
258758,Olfr1406,1
258880,Olfr218,1
258881,Olfr1404,1
14125,Fcer1a,1
258645,Olfr418,1
100504232,Mptx2,1
13349,Ackr1,1
94332,Cadm3,1
383619,Aim2,1
240921,NA,NA
545384,Ifi214,1
623121,Ifi213,1
236312,Ifi209,1
100033459,Ifi208,1
100504251,NA,NA
226691,Ifi207,1
15951,Ifi204,1
100504287,NA,NA
666028,NA,NA
100040462,Mndal,1
381308,Ifi211,1
15950,Ifi203,1
26388,Ifi202b,1
226695,Ifi205,1
